Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,ts,48.52444,48.72444,e˨˩˦,z̩˥˩,False,"Interval(48.28444, 48.86444, 写字)",7.620353965441666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,49.92462,50.05462,,ow˧˥,True,"Interval(49.92462, 50.32462, 投篮)",11.235955056179769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʲ,50.52462,50.65462,ej˨˩˦,i˧˥,False,"Interval(50.32462, 50.79462, 水平)",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,50.79462,50.88462,ŋ,ə˨˩˦,True,"Interval(50.79462, 51.30462, 怎么样)",14.529914529914508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,52.39707,52.44707,,j,True,"Interval(52.39707, 52.82707, 表妹)",10.843373493975927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,53.43707,53.60707,i˥˩,u˥,True,"Interval(53.43707, 53.98707, 出国)",11.504424778761036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,53.68707,53.76707,u˥,w,False,"Interval(53.43707, 53.98707, 出国)",11.34020618556694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,56.04723,56.10723,ŋ,aw˥˩,False,"Interval(55.73723, 56.24723, 想到)",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,56.24723,56.34723,aw˥˩,ow˥˩,True,"Interval(56.24723, 56.44723, 就)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,56.44723,56.53723,ow˥˩,i˨˩˦,True,"Interval(56.44723, 56.86723, 紧张)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,56.66723,56.73723,n,a˥,False,"Interval(56.44723, 56.86723, 紧张)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʰ,57.06723,57.19723,aj˥˩,a˥˩,False,"Interval(56.86723, 57.42723, 害怕)",8.960493185544909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,58.82122,58.98122,u˨˩˦,y˥˩,True,"Interval(58.82122, 59.02122, 去)",10.569105691056938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,kʷ,59.02122,59.10122,y˥˩,u˥,True,"Interval(59.02122, 59.45122, 公园)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʷ,59.74122,59.83122,n,u˥˩,False,"Interval(59.45122, 60.00122, 散步)",11.032767318937218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,61.14419,61.20419,,a˥˩,True,"Interval(61.14419, 61.33419, 爸)",8.139534883720936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,61.57419,61.67419,a˥,aj˥˩,True,"Interval(61.57419, 61.77419, 在)",9.322033898305087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,61.77419,61.86419,aj˥˩,a˥˩,True,"Interval(61.77419, 62.19419, 大学)",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,62.19419,62.28419,e˧˥,aw˥,True,"Interval(62.19419, 62.79419, 教书)",7.936507936507949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,63.57735,63.71735,,a˥,True,"Interval(63.57735, 63.81735, 她)",10.666666666666565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,64.19735,64.35735,aw˥˩,i˨˩˦,True,"Interval(64.19735, 64.38735, 几)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,kʰ,64.38735,64.51735,i˨˩˦,w,True,"Interval(64.38735, 64.61735, 块)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,64.88735,64.94735,n,aw˥,False,"Interval(64.61735, 65.11735, 面包)",9.244707405010649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʰ,66.74565,66.83565,ŋ,a˥,True,"Interval(66.74565, 66.95565, 她)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,67.19565,67.44565,ej˧˥,y˥˩,False,"Interval(66.95565, 67.56565, 回去)",8.053258885428887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,68.58809,68.66809,,o˥˩,True,"Interval(68.58809, 68.71809, 这)",8.139534883720936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,68.71809,68.83809,o˥˩,ʐ̩˥,True,"Interval(68.71809, 69.17809, 支歌)",10.227272727272615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,68.92809,69.01809,ʐ̩˥,o˥,False,"Interval(68.71809, 69.17809, 支歌)",10.091743119266024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʲ,69.17809,69.28809,o˥,i˧˥,True,"Interval(69.17809, 69.57809, 的确)",8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʷ,69.35809,69.49809,i˧˥,e˥˩,False,"Interval(69.17809, 69.57809, 的确)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʲ,69.77809,69.93809,aw˨˩˦,i˥,False,"Interval(69.57809, 70.10809, 好听)",8.796364169476607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʰ,71.68494,71.84494,aj˥˩,w,False,"Interval(71.50494, 71.96494, 外婆)",11.827956989247406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,71.96494,72.10494,o˧˥,a˧˥,True,"Interval(71.96494, 72.23494, 常)",8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂʰ,72.57494,72.77494,o˨˩˦,ʐ̩˥,True,"Interval(72.57494, 73.13494, 吃饭)",11.711711711711718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,74.42168,74.48168,ŋ,w,True,"Interval(74.42168, 74.79168, 过来)",11.403508771929818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tʲ,74.79168,74.98168,aj˧˥,i˥,True,"Interval(74.79168, 75.02168, 踢)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ts,75.02168,75.14168,i˥,u˧˥,True,"Interval(75.02168, 75.58168, 足球)",10.084033613445277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
